발생일시,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자_당사자종별,피해자_당사자종별,도로형태id,사고id
2019-11-05 19:00:00+09,1,0,0,0,0,전북,완주군,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2709
2019-11-06 06:00:00+09,1,0,0,0,0,강원,춘천시,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,2,2710
2019-11-06 10:00:00+09,1,6,1,5,0,전북,전주시,차대차,추돌,안전운전 의무 불이행,화물차,승용차,4,2711
2019-11-06 10:00:00+09,1,0,0,0,0,경남,진주시,차대사람,차도통행중,안전운전 의무 불이행,화물차,보행자,1,2712
2019-11-06 11:00:00+09,1,1,1,0,0,세종,세종시,차대차,기타,안전운전 의무 불이행,승용차,승용차,1,2713
2019-11-06 12:00:00+09,1,0,0,0,0,전북,익산시,차대차,정면충돌,신호위반,이륜차,화물차,1,2714
2019-11-06 14:00:00+09,2,0,0,0,0,전남,보성군,차대차,측면충돌,기타,이륜차,화물차,1,2715
2019-11-06 16:00:00+09,1,0,0,0,0,전남,보성군,차대차,측면충돌,안전운전 의무 불이행,농기계,승용차,2,2716
2019-11-06 17:00:00+09,1,0,0,0,0,부산,사상구,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,5,2717
2019-11-06 17:00:00+09,1,0,0,0,0,강원,철원군,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2718
2019-11-06 18:00:00+09,1,0,0,0,0,충남,논산시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,5,2719
2019-11-06 20:00:00+09,1,0,0,0,0,경남,창원시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,1,2720
2019-11-07 06:00:00+09,1,0,0,0,0,대구,북구,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,2721
2019-11-07 12:00:00+09,1,1,0,1,0,제주,서귀포시,차대차,정면충돌,중앙선 침범,이륜차,화물차,5,2722
2019-11-07 16:00:00+09,1,0,0,0,0,부산,사상구,차대차,측면충돌,신호위반,승용차,자전거,5,2723
2019-11-07 16:00:00+09,1,0,0,0,0,울산,남구,차량단독,전도,안전운전 의무 불이행,이륜차,없음,2,2724
2019-11-07 18:00:00+09,1,0,0,0,0,전북,순창군,차량단독,도로이탈,안전운전 의무 불이행,사륜오토바이(ATV),없음,5,2725
2019-11-07 18:00:00+09,1,0,0,0,0,전남,담양군,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,2726
2019-11-07 19:00:00+09,1,0,0,0,0,경북,포항시,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,1,2727
2019-11-07 20:00:00+09,1,0,0,0,0,전북,김제시,차대사람,기타,기타,승용차,보행자,5,2728
2019-11-07 23:00:00+09,1,0,0,0,0,경북,경산시,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,5,2729
2019-11-08 02:00:00+09,1,1,0,1,0,경기,이천시,차대차,추돌,안전운전 의무 불이행,화물차,화물차,5,2730
2019-11-08 05:00:00+09,1,0,0,0,0,서울,구로구,차대사람,횡단중,보행자 보호의무 위반,화물차,보행자,5,2731
2019-11-08 05:00:00+09,1,0,0,0,0,경남,창원시,차대차,정면충돌,안전운전 의무 불이행,화물차,자전거,2,2732
2019-11-08 09:00:00+09,1,0,0,0,0,전남,목포시,차대차,측면충돌,신호위반,승용차,이륜차,1,2733
2019-11-08 10:00:00+09,1,0,0,0,0,경북,포항시,차대차,측면충돌,교차로 통행방법 위반,이륜차,화물차,1,2734
2019-11-08 12:00:00+09,1,0,0,0,0,전남,나주시,차량단독,전도,안전운전 의무 불이행,사륜오토바이(ATV),없음,5,2735
2019-11-08 14:00:00+09,1,0,0,0,0,경북,고령군,차대차,측면충돌,교차로 통행방법 위반,이륜차,승합차,1,2736
2019-11-08 15:00:00+09,1,0,0,0,0,전북,전주시,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,1,2737
2019-11-08 15:00:00+09,1,0,0,0,0,경남,양산시,차량단독,공작물충돌,안전운전 의무 불이행,이륜차,없음,5,2738
2019-11-08 19:00:00+09,1,3,1,2,0,경기,안산시,차대차,측면충돌,신호위반,이륜차,승용차,2,2739
2019-11-08 21:00:00+09,1,0,0,0,0,경기,이천시,차량단독,전도,안전운전 의무 불이행,승용차,없음,1,2740
2019-11-08 21:00:00+09,1,0,0,0,0,경기,용인시,차량단독,공작물충돌,안전운전 의무 불이행,원동기장치자전거,없음,5,2741
2019-11-09 01:00:00+09,1,0,0,0,0,부산,해운대구,차량단독,공작물충돌,안전운전 의무 불이행,원동기장치자전거,없음,5,2742
2019-11-09 05:00:00+09,1,0,0,0,0,전북,군산시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,9,2743
2019-11-09 06:00:00+09,1,0,0,0,0,강원,홍천군,차량단독,도로이탈,안전운전 의무 불이행,화물차,없음,5,2744
2019-11-09 10:00:00+09,1,0,0,0,0,서울,관악구,차대사람,횡단중,안전운전 의무 불이행,건설기계,보행자,2,2745
2019-11-09 10:00:00+09,1,3,1,2,0,충남,보령시,차대사람,기타,과속,승용차,보행자,4,2746
2019-11-09 11:00:00+09,1,0,0,0,0,충남,청양군,차량단독,전도,안전운전 의무 불이행,농기계,없음,4,2747
2019-11-09 16:00:00+09,1,0,0,0,0,경기,양주시,차대차,정면충돌,신호위반,승용차,이륜차,1,2748
2019-11-09 18:00:00+09,1,0,0,0,0,전남,화순군,차대사람,차도통행중,안전운전 의무 불이행,승용차,보행자,7,2749
2019-11-09 18:00:00+09,1,0,0,0,0,경남,창원시,차대사람,횡단중,과속,승용차,보행자,5,2750
2019-11-09 21:00:00+09,1,0,0,0,0,경남,함안군,차량단독,공작물충돌,안전운전 의무 불이행,화물차,없음,2,2751
2019-11-10 03:00:00+09,1,2,2,0,0,경북,의성군,차대차,정면충돌,중앙선 침범,승용차,농기계,5,2752
2019-11-10 06:00:00+09,1,0,0,0,0,경남,창원시,차대사람,횡단중,과속,승용차,보행자,3,2753
2019-11-10 08:00:00+09,1,0,0,0,0,부산,부산진구,차대사람,횡단중,안전운전 의무 불이행,화물차,보행자,3,2754
2019-11-10 10:00:00+09,1,0,0,0,0,광주,북구,차대차,기타,안전운전 의무 불이행,자전거,승용차,5,2755
2019-11-10 11:00:00+09,1,0,0,0,0,경기,포천시,차량단독,공작물충돌,안전운전 의무 불이행,이륜차,없음,5,2756
2019-11-10 16:00:00+09,1,0,0,0,0,충남,아산시,차량단독,공작물충돌,안전운전 의무 불이행,승용차,없음,5,2757
2019-11-10 16:00:00+09,1,0,0,0,0,경기,포천시,차대차,측면충돌,안전운전 의무 불이행,이륜차,자전거,5,2758
2019-11-10 18:00:00+09,1,1,0,1,0,전남,순천시,차대사람,차도통행중,안전운전 의무 불이행,이륜차,보행자,5,2759
2019-11-10 19:00:00+09,1,0,0,0,0,제주,제주시,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,2,2760
2019-11-10 19:00:00+09,1,0,0,0,0,제주,제주시,차량단독,도로이탈,안전운전 의무 불이행,화물차,없음,5,2761
2019-11-11 00:00:00+09,1,0,0,0,0,울산,남구,차대사람,기타,안전운전 의무 불이행,승용차,보행자,5,2762
2019-11-11 02:00:00+09,1,0,0,0,0,경기,남양주시,차량단독,전도,안전운전 의무 불이행,이륜차,없음,5,2763
2019-11-11 06:00:00+09,1,0,0,0,0,충남,청양군,차대사람,횡단중,안전운전 의무 불이행,승용차,보행자,1,2764
2019-11-11 07:00:00+09,1,0,0,0,0,전남,보성군,차량단독,도로이탈,안전운전 의무 불이행,이륜차,없음,5,2765
2019-11-11 13:00:00+09,1,0,0,0,0,인천,서구,차대차,추돌,과속,승용차,농기계,7,2766
